image_id,path,relative_path,generator,subset_name,split,class_name,content_id,is_real,y_ai
img_61f7a0ac9289eee0,/Users/nandapratama/Documents/Folder belajar/TA/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/025_biggan_00000.png,ai/025_biggan_00000.png,BigGAN,random5class_train,train,ai,025,0,1
img_d15fc26bf3ecd1e4,/Users/nandapratama/Documents/Folder belajar/TA/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/025_biggan_00001.png,ai/025_biggan_00001.png,BigGAN,random5class_train,train,ai,025,0,1
img_5832931017720fa2,/Users/nandapratama/Documents/Folder belajar/TA/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/025_biggan_00002.png,ai/025_biggan_00002.png,BigGAN,random5class_train,train,ai,025,0,1
img_92b856d1879721e2,/Users/nandapratama/Documents/Folder belajar/TA/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/025_biggan_00004.png,ai/025_biggan_00004.png,BigGAN,random5class_train,train,ai,025,0,1
img_03c914ec118361f8,/Users/nandapratama/Documents/Folder belajar/TA/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/025_biggan_00005.png,ai/025_biggan_00005.png,BigGAN,random5class_train,train,ai,025,0,1
img_0b20b62391f1beef,/Users/nandapratama/Documents/Folder belajar/TA/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/025_biggan_00006.png,ai/025_biggan_00006.png,BigGAN,random5class_train,train,ai,025,0,1
img_9a2060d0dc3fc964,/Users/nandapratama/Documents/Folder belajar/TA/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/025_biggan_00007.png,ai/025_biggan_00007.png,BigGAN,random5class_train,train,ai,025,0,1
img_ce5a48c7dfb4ed75,/Users/nandapratama/Documents/Folder belajar/TA/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/025_biggan_00008.png,ai/025_biggan_00008.png,BigGAN,random5class_train,train,ai,025,0,1
img_098db24fe391a2f4,/Users/nandapratama/Documents/Folder belajar/TA/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/025_biggan_00010.png,ai/025_biggan_00010.png,BigGAN,random5class_train,train,ai,025,0,1
img_46c0edbcb255f88e,/Users/nandapratama/Documents/Folder belajar/TA/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/025_biggan_00011.png,ai/025_biggan_00011.png,BigGAN,random5class_train,train,ai,025,0,1
img_8c50776293539141,/Users/nandapratama/Documents/Folder belajar/TA/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/025_biggan_00012.png,ai/025_biggan_00012.png,BigGAN,random5class_train,train,ai,025,0,1
img_97e77c91c17d4d4b,/Users/nandapratama/Documents/Folder belajar/TA/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/025_biggan_00013.png,ai/025_biggan_00013.png,BigGAN,random5class_train,train,ai,025,0,1
img_d3ea1c20b5bfc9aa,/Users/nandapratama/Documents/Folder belajar/TA/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/025_biggan_00014.png,ai/025_biggan_00014.png,BigGAN,random5class_train,train,ai,025,0,1
img_0befcf5066610eb3,/Users/nandapratama/Documents/Folder belajar/TA/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/025_biggan_00016.png,ai/025_biggan_00016.png,BigGAN,random5class_train,train,ai,025,0,1
img_5d09f3136b3e8c3a,/Users/nandapratama/Documents/Folder belajar/TA/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/025_biggan_00017.png,ai/025_biggan_00017.png,BigGAN,random5class_train,train,ai,025,0,1
img_af3494d9f6349543,/Users/nandapratama/Documents/Folder belajar/TA/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/025_biggan_00018.png,ai/025_biggan_00018.png,BigGAN,random5class_train,train,ai,025,0,1
img_8e26e6a3cb593ef5,/Users/nandapratama/Documents/Folder belajar/TA/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/025_biggan_00021.png,ai/025_biggan_00021.png,BigGAN,random5class_train,train,ai,025,0,1
img_7380bb09cedd1993,/Users/nandapratama/Documents/Folder belajar/TA/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/025_biggan_00022.png,ai/025_biggan_00022.png,BigGAN,random5class_train,train,ai,025,0,1
img_ba2e1beb06a8a124,/Users/nandapratama/Documents/Folder belajar/TA/nr_iqa_genimage_scaffold/data/raw/genimage/BigGAN/train/ai/025_biggan_00023.png,ai/025_biggan_00023.png,BigGAN,random5class_train,train,ai,025,0,1
